*******************************************************************************
 Revised: April 12, 2021        Jupiter Barycenter                            5
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Jupiter system. The point about 
 which Jupiter and its satellites revolve. See 599 for Jupiter center.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Mar 29 02:45:19 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter Barycenter (5)          {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Aug-12 08:17:00.0000 TDB
Stop  time      : A.D. 2028-Dec-31 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458342.845138889, A.D. 2018-Aug-12 08:17:00.0000, -4.570195649814439E+08, -6.627164675406923E+08,  1.297137565176687E+07,  1.060064034593979E+01, -6.795086890878338E+00, -2.089227935901610E-01,
2458345.845138889, A.D. 2018-Aug-15 08:17:00.0000, -4.542679942904497E+08, -6.644720981517154E+08,  1.291711246894544E+07,  1.063058685528143E+01, -6.751423398473159E+00, -2.097740674344877E-01,
2458348.845138889, A.D. 2018-Aug-18 08:17:00.0000, -4.515086833642253E+08, -6.662163939445407E+08,  1.286262905441502E+07,  1.066036428411074E+01, -6.707626967264448E+00, -2.106221097266441E-01,
2458351.845138889, A.D. 2018-Aug-21 08:17:00.0000, -4.487416761054533E+08, -6.679493205341253E+08,  1.280792624781930E+07,  1.068997203836228E+01, -6.663698158596726E+00, -2.114669048414237E-01,
2458354.845138889, A.D. 2018-Aug-24 08:17:00.0000, -4.459670165706607E+08, -6.696708436812618E+08,  1.275300489285022E+07,  1.071940952502902E+01, -6.619637536410494E+00, -2.123084371666759E-01,
2458357.845138889, A.D. 2018-Aug-27 08:17:00.0000, -4.431847489699447E+08, -6.713809292932543E+08,  1.269786583724484E+07,  1.074867615216624E+01, -6.575445667251037E+00, -2.131466911029087E-01,
2458360.845138889, A.D. 2018-Aug-30 08:17:00.0000, -4.403949176666952E+08, -6.730795434245943E+08,  1.264250993278193E+07,  1.077777132890492E+01, -6.531123120279595E+00, -2.139816510645245E-01,
2458363.845138889, A.D. 2018-Sep-02 08:17:00.0000, -4.375975671773161E+08, -6.747666522776388E+08,  1.258693803527805E+07,  1.080669446545182E+01, -6.486670467277736E+00, -2.148133014784053E-01,
2458366.845138889, A.D. 2018-Sep-05 08:17:00.0000, -4.347927421709448E+08, -6.764422222032912E+08,  1.253115100458485E+07,  1.083544497310247E+01, -6.442088282651648E+00, -2.156416267846302E-01,
